1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
4056,TX,Texas,4,H2TX04090,,Fred,Rostek,"Rostek, Fred",,W,,,,,188,0.08%,,,,,,
4059,TX,Texas,5,H2TX05121,(I),Jeb,Hensarling,"Hensarling, Jeb",,R,"41,348",100.00%,,,"134,091",64.40%,,,,,W,
4061,TX,Texas,5,H2TX05204,,Linda S.,Mrosko,"Mrosko, Linda S.",,D,"2,778",39.16%,"1,848",60.83%,"69,178",33.22%,,,,,,
4065,TX,Texas,5,H8TX05052,,Ken,Ashby,"Ashby, Ken",,LIB,*,,,,"4,961",2.38%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4068,TX,Texas,6,H4TX06117,(I),Joe L.,Barton,"Barton, Joe L.",,R,"26,192",63.22%,,,"145,019",58.02%,,,,,W,
4073,TX,Texas,6,H2TX33123,,Kenneth,Sanders,"Sanders, Kenneth",,D,"6,609",61.25%,,,"98,053",39.23%,,,,,,
4077,TX,Texas,6,H4TX06160,,Hugh,Chauvin,"Chauvin, Hugh",,LIB,*,,,,"4,847",1.94%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4078,TX,Texas,6,H2TX06194,,Brandon,Parmer,"Parmer, Brandon",,GRE,*,,,,"2,017",0.81%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4081,TX,Texas,7,H0TX07055,(I),John,Culberson,"Culberson, John",,R,"37,590",86.29%,,,"142,793",60.81%,,,,,W,
4085,TX,Texas,7,H2TX07036,,James,Cargas,"Cargas, James",,D,"2,410",33.78%,"2,121",57.86%,"85,553",36.43%,,,,,,
4088,TX,Texas,7,H8TX07066,,Drew,Parks,"Parks, Drew",,LIB,*,,,,"4,669",1.99%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4089,TX,Texas,7,H2TX07044,,Lance,Findley,"Findley, Lance",,GRE,*,,,,"1,822",0.78%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4094,TX,Texas,8,H6TX08100,(I),Kevin,Brady,"Brady, Kevin",,R,"48,366",76.11%,,,"194,043",77.29%,,,,,W,
4097,TX,Texas,8,H2TX08083,,Neil,Burns,"Burns, Neil",,D,"5,789",100.00%,,,"51,051",20.33%,,,,,,
4099,TX,Texas,8,H2TX08075,,Roy,Hall,"Hall, Roy",,LIB,*,,,,"5,958",2.37%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4102,TX,Texas,9,H4TX09095,(I),Al,Green,"Green, Al",,D,"20,917",100.00%,,,"144,075",78.49%,,,,,W,
4104,TX,Texas,9,H0TX09143,,Steve,Mueller,"Mueller, Steve",,R,"7,255",100.00%,,,"36,139",19.69%,,,,,,
4106,TX,Texas,9,H2TX09123,,Vanessa,Foster,"Foster, Vanessa",,GRE,*,,,,"1,743",0.95%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4107,TX,Texas,9,H8TX22180,,John,Wieder,"Wieder, John",,LIB,*,,,,"1,609",0.88%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4110,TX,Texas,10,H4TX10093,(I),Michael,McCaul,"McCaul, Michael",,R,"39,543",83.77%,,,"159,783",60.52%,,,,,W,
4113,TX,Texas,10,H2TX10113,,Tawana W.,Cadien,"Cadien, Tawana W.",,D,"8,061",56.65%,,,"95,710",36.25%,,,,,,
4116,TX,Texas,10,H2TX10139,,Richard,Priest,"Priest, Richard",,LIB,*,,,,"8,526",3.23%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4119,TX,Texas,11,H4TX19136,(I),Mike,Conaway,"Conaway, Mike",,R,"48,581",70.36%,,,"177,742",78.64%,,,,,W,
4123,TX,Texas,11,H2TX11061,,Jim,Riley,"Riley, Jim",,D,"4,322",100.00%,,,"41,970",18.57%,,,,,,
4125,TX,Texas,11,H2TX11095,,Scott J.,Ballard,"Ballard, Scott J.",,LIB,*,,,,"6,311",2.79%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4128,TX,Texas,12,H6TX12060,(I),Kay,Granger,"Granger, Kay",,R,"34,828",80.18%,,,"175,649",70.91%,,,,,W,
4131,TX,Texas,12,H2TX33107,,Dave,Robinson,"Robinson, Dave",,D,"6,530",100.00%,,,"66,080",26.68%,,,,,,
4133,TX,Texas,12,H0TX12212,,Matthew,Solodow,"Solodow, Matthew",,LIB,*,,,,"5,983",2.42%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4136,TX,Texas,13,H4TX13014,(I),Mac,Thornberry,"Thornberry, Mac",,R,"47,051",77.53%,,,"187,775",90.98%,,,,,W,
4139,TX,Texas,13,H2TX13083,,John Robert,Deek,"Deek, John Robert",,LIB,*,,,,"12,701",6.15%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4140,TX,Texas,13,H2TX13091,,Keith F.,Houston,"Houston, Keith F.",,GRE,*,,,,"5,912",2.86%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4143,TX,Texas,14,H2TX14149,,Randy,Weber,"Weber, Randy",,R,"12,088",27.60%,"23,295",62.81%,"131,460",53.47%,,,,,W,
4153,TX,Texas,14,H6TX09033,,Nick,Lampson,"Lampson, Nick",,D,"18,500",83.24%,,,"109,697",44.62%,,,,,,
4156,TX,Texas,14,H2TX13109,,Zach,Grady,"Grady, Zach",,LIB,*,,,,"3,619",1.47%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4158,TX,Texas,14,H0TX20090,,Rhett Rosenquest,Smith,"Smith, Rhett Rosenquest",,GRE,*,,,,"1,063",0.43%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4161,TX,Texas,15,H6TX15055,(I),Rubén,Hinojosa,"Hinojosa, Rubén",,D,"29,397",71.16%,,,"89,296",60.89%,,,,,W,
4167,TX,Texas,15,H2TX28040,,Dale A.,Brueggemann,"Brueggemann, Dale A.",,R,"4,551",31.68%,"6,403",57.30%,"54,056",36.86%,,,,,,
4172,TX,Texas,15,H2TX15104,,Ron,Finch,"Finch, Ron",,LIB,*,,,,"3,309",2.26%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4175,TX,Texas,16,H2TX16185,,Beto,O'Rourke,"O'Rourke, Beto",,D,"23,261",50.47%,,,"101,403",65.42%,,,,,W,
4181,TX,Texas,16,H2TX16193,,Barbara,Carrasco,"Carrasco, Barbara",,R,"5,268",58.87%,,,"51,043",32.93%,,,,,,
4184,TX,Texas,16,H2TX16235,,Junart,Sodoy,"Sodoy, Junart",,LIB,*,,,,"2,559",1.65%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4187,TX,Texas,17,H0TX17104,(I),Bill,Flores,"Flores, Bill",,R,"41,449",82.50%,,,"143,284",79.93%,,,,,W,
4190,TX,Texas,17,H2TX17076,,Ben,Easton,"Easton, Ben",,LIB,*,,,,"35,978",20.07%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4193,TX,Texas,18,H4TX18054,(I),Sheila,Jackson Lee,"Jackson Lee, Sheila",,D,"21,171",100.00%,,,"146,223",75.01%,,,,,W,
4195,TX,Texas,18,H2TX18140,,Sean,Seibert,"Seibert, Sean",,R,"7,493",100.00%,,,"44,015",22.58%,,,,,,
4197,TX,Texas,18,H2TX18157,,Christopher,Barber,"Barber, Christopher",,LIB,*,,,,"4,694",2.41%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4200,TX,Texas,19,H4TX19102,(I),Randy,Neugebauer,"Neugebauer, Randy",,R,"45,444",74.31%,,,"163,239",84.99%,,,,,W,
4203,TX,Texas,19,H4TX19235,,Richard (Chip),Peterson,"Peterson, Richard (Chip)",,LIB,*,,,,"28,824",15.01%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4206,TX,Texas,20,H2TX35011,,Joaquin,Castro,"Castro, Joaquin",,D,"16,562",100.00%,,,"119,032",63.93%,,,,,W,
4208,TX,Texas,20,H2TX20039,,David,Rosa,"Rosa, David",,R,"9,582",100.00%,,,"62,376",33.50%,,,,,,
4210,TX,Texas,20,H2TX20054,,A.E. (Tracy),Potts,"Potts, A.E. (Tracy)",,LIB,*,,,,"3,143",1.69%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4211,TX,Texas,20,H2TX20062,,Antonio,Diaz,"Diaz, Antonio",,GRE,*,,,,"1,626",0.87%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4214,TX,Texas,21,H6TX21012,(I),Lamar,Smith,"Smith, Lamar",,R,"52,404",76.63%,,,"187,015",60.55%,,,,,W,
4218,TX,Texas,21,H2TX21086,,Candace E.,Duval,"Duval, Candace E.",,D,"9,522",61.07%,,,"109,326",35.40%,,,,,,
4221,TX,Texas,21,H2TX21110,,John-Henry,Liberty,"Liberty, John-Henry",,LIB,*,,,,"12,524",4.05%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4224,TX,Texas,22,H8TX22107,(I),Pete,Olson,"Olson, Pete",,R,"35,838",76.48%,,,"160,668",64.03%,,,,,W,
4227,TX,Texas,22,H0TX22112,,Kesha,Rogers,"Rogers, Kesha",,D,"3,666",50.71%,,,"80,203",31.96%,,,,,,
4230,TX,Texas,22,H0TX22138,,Steven,Susman,"Susman, Steven",,LIB,*,,,,"5,986",2.39%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4231,TX,Texas,22,H2TX22126,,Don,Cook,"Cook, Don",,GRE,*,,,,"4,054",1.62%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4234,TX,Texas,23,H2TX23124,,Pete P.,Gallego,"Gallego, Pete P.",,D,"16,202",40.83%,"15,815",54.81%,"96,676",50.31%,,,,,W,
4238,TX,Texas,23,H4TX28046,(I),"Francisco ""Quico""",Canseco,"Canseco, Francisco ""Quico""",,R,"17,438",100.00%,,,"87,547",45.56%,,,,,,
4240,TX,Texas,23,H8TX21125,,Jeffrey C.,Blunt,"Blunt, Jeffrey C.",,LIB,*,,,,"5,841",3.04%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4241,TX,Texas,23,H2TX23090,,Ed,Scharf,"Scharf, Ed",,GRE,*,,,,"2,105",1.10%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4244,TX,Texas,24,H4TX24094,(I),Kenny E.,Marchant,"Marchant, Kenny E.",,R,"27,926",67.93%,,,"148,586",61.02%,,,,,W,
4247,TX,Texas,24,H2TX24122,,Tim,Rusk,"Rusk, Tim",,D,"5,267",100.00%,,,"87,645",36.00%,,,,,,
4249,TX,Texas,24,H2TX24130,,John,Stathas,"Stathas, John",,LIB,*,,,,"7,258",2.98%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4252,TX,Texas,25,H2TX33040,,Roger,Williams,"Williams, Roger",,R,"12,894",25.11%,"26,495",57.97%,"154,245",58.44%,,,,,W,
4265,TX,Texas,25,H2TX25269,,Elaine M.,Henderson,"Henderson, Elaine M.",,D,"13,465",100.00%,,,"98,827",37.44%,,,,,,
4267,TX,Texas,25,H2TX25293,,Betsy,Dewey,"Dewey, Betsy",,LIB,*,,,,"10,860",4.11%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4270,TX,Texas,26,H2TX26093,(I),Michael,Burgess,"Burgess, Michael",,R,"33,605",100.00%,,,"176,642",68.27%,,,,,W,
4272,TX,Texas,26,H2TX26168,,David,Sanchez,"Sanchez, David",,D,"3,682",100.00%,,,"74,237",28.69%,,,,,,
4274,TX,Texas,26,H0TX26105,,Mark,Boler,"Boler, Mark",,LIB,*,,,,"7,844",3.03%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4277,TX,Texas,27,H0TX27061,(I),Blake,Farenthold,"Farenthold, Blake",,R,"28,058",70.78%,,,"120,684",56.75%,,,,,W,
4282,TX,Texas,27,H2TX27133,,Rose Meza,Harrison,"Harrison, Rose Meza",,D,"6,354",30.70%,"7,024",60.61%,"83,395",39.22%,,,,,,
4287,TX,Texas,27,H2TX27257,,Bret,Baldwin,"Baldwin, Bret",,IND,,,,,"5,354",2.52%,,,,,,
4288,TX,Texas,27,H2TX27265,,Corrie,Byrd,"Byrd, Corrie",,LIB,*,,,,"3,218",1.51%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4291,TX,Texas,28,H2TX23082,(I),Henry,Cuellar,"Cuellar, Henry",,D,"35,350",100.00%,,,"112,456",67.89%,,,,,W,
4293,TX,Texas,28,H2TX28057,,William R.,Hayward,"Hayward, William R.",,R,"9,710",100.00%,,,"49,309",29.77%,,,,,,
4295,TX,Texas,28,H2TX28065,,Patrick,Hisel,"Hisel, Patrick",,LIB,*,,,,"2,473",1.49%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4296,TX,Texas,28,H2TX28073,,Michael D.,Cary,"Cary, Michael D.",,GRE,*,,,,"1,407",0.85%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4299,TX,Texas,29,H2TX29030,(I),Gene,Green,"Green, Gene",,D,"10,667",100.00%,,,"86,053",90.00%,,,,,W,
4301,TX,Texas,29,H2TX29105,,James,Stanczak,"Stanczak, James",,LIB,*,,,,"4,996",5.23%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4302,TX,Texas,29,H2TX29113,,Maria,Selva,"Selva, Maria",,GRE,*,,,,"4,562",4.77%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4305,TX,Texas,30,H2TX00015,(I),Eddie Bernice,Johnson,"Johnson, Eddie Bernice",,D,"23,346",70.06%,,,"171,059",78.82%,,,,,W,
4309,TX,Texas,30,H2TX30095,,"Travis, Jr.",Washington,"Washington, Travis, Jr.",,R,"6,260",100.00%,,,"41,222",19.00%,,,,,,
4311,TX,Texas,30,H2TX30103,,Ed,Rankin,"Rankin, Ed",,LIB,*,,,,"4,733",2.18%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4314,TX,Texas,31,H2TX31044,(I),John R.,Carter,"Carter, John R.",,R,"32,917",75.99%,,,"145,348",61.28%,,,,,W,
4317,TX,Texas,31,H0TX21072,,Stephen M.,Wyman,"Wyman, Stephen M.",,D,"5,864",100.00%,,,"82,977",34.98%,,,,,,
4319,TX,Texas,31,H2TX31135,,Ethan,Garofolo,"Garofolo, Ethan",,LIB,*,,,,"8,862",3.74%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4322,TX,Texas,32,H2TX03126,(I),Pete,Sessions,"Sessions, Pete",,R,"29,523",100.00%,,,"146,653",58.28%,,,,,W,
4324,TX,Texas,32,H2TX32067,,Katherine Savers,McGovern,"McGovern, Katherine Savers",,D,"7,301",84.20%,,,"99,288",39.46%,,,,,,
4327,TX,Texas,32,H2TX32075,,Seth Jewel,Hollist,"Hollist, Seth Jewel",,LIB,*,,,,"5,695",2.26%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4330,TX,Texas,33,H2TX33073,,Marc,Veasey,"Veasey, Marc",,D,"6,938",36.77%,"10,766",52.73%,"85,114",72.51%,,,,,W,
4342,TX,Texas,33,H2TX33065,,Chuck,Bradley,"Bradley, Chuck",,R,"3,706",63.79%,,,"30,252",25.77%,,,,,,
4345,TX,Texas,33,H2TX33222,,Ed,Lindsay,"Lindsay, Ed",,GRE,*,,,,"2,009",1.71%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4348,TX,Texas,34,H2TX27190,,Filemon,Vela,"Vela, Filemon",,D,"18,233",40.46%,"15,628",66.64%,"89,606",61.89%,,,,,W,
4358,TX,Texas,34,H0TX27053,,Jessica Puente,Bradshaw,"Bradshaw, Jessica Puente",,R,"4,409",34.58%,"5,309",55.33%,"52,448",36.23%,,,,,,
4362,TX,Texas,34,H2TX34089,,"Steven ""Ziggy""",Shanklin,"Shanklin, Steven ""Ziggy""",,LIB,*,,,,"2,724",1.88%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4365,TX,Texas,35,H4TX10028,(I),Lloyd,Doggett,"Doggett, Lloyd",,D,"14,559",73.25%,,,"105,626",63.95%,,,,,W,
4369,TX,Texas,35,H2TX35029,,Susan,Narvaiz,"Narvaiz, Susan",,R,"6,040",51.78%,,,"52,894",32.02%,,,,,,
4373,TX,Texas,35,H8TX28203,,Ross Lynn,Leone,"Leone, Ross Lynn",,LIB,*,,,,"4,082",2.47%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4374,TX,Texas,35,H2TX35094,,Meghan,Owen,"Owen, Meghan",,GRE,*,,,,"2,540",1.54%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4375,TX,Texas,35,H2TX35086,,Simon,Alvarado,"Alvarado, Simon",,W,,,,,37,0.02%,,,,,,
4378,TX,Texas,36,H6TX22143,,Steve,Stockman,"Stockman, Steve",,R,"11,858",21.78%,"21,472",55.27%,"165,405",70.74%,,,,,W,
4391,TX,Texas,36,H2TX22118,,Max,Martin,"Martin, Max",,D,"9,869",100.00%,,,"62,143",26.58%,,,,,,
4393,TX,Texas,36,H2TX36134,,Michael K.,Cole,"Cole, Michael K.",,LIB,*,,,,"6,284",2.69%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
